Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
4:00A.M.,Taeko Onuki,MIGNONNE (Mastered by Bernie Grundman),0Y4RPWAZZui6gUL1kwgND6,0zoGVO4bQXG8U6ChKwNgeg,65,1978-09-21,336960,False,https://open.spotify.com/track/0zoGVO4bQXG8U6ChKwNgeg,0.631,0.644,10,-10.81,0,0.0348,0.341,0.000411,0.0877,0.861,103.376
Dumas Walker,The Kentucky Headhunters,Pickin On Nashville,7fYP3RiIgtPyj4QfqS2FAz,30WzaYR4gc3U7wv1VWFP5y,54,1989-01-01,171840,False,https://open.spotify.com/track/30WzaYR4gc3U7wv1VWFP5y,0.621,0.579,7,-12.829,1,0.0299,0.368,2.14e-06,0.19,0.967,140.356
Walk Softly On This Heart Of Mine,The Kentucky Headhunters,Pickin On Nashville,7fYP3RiIgtPyj4QfqS2FAz,5yma4EpKYJ4r6jXhebUzh2,48,1989-01-01,226667,False,https://open.spotify.com/track/5yma4EpKYJ4r6jXhebUzh2,0.689,0.622,9,-13.685,1,0.029,0.256,8.54e-06,0.186,0.849,126.259
10 Minutes,Lee Hyori,Stylish…,2uTwUONoLUhlpM6r324B2b,2Tfv41qZ0U3ahZiKiDBa4a,65,2003-08-13,236147,False,https://open.spotify.com/track/2Tfv41qZ0U3ahZiKiDBa4a,0.934,0.671,0,-7.253,1,0.0754,0.0464,0.0,0.085,0.869,96.371
Caribou Lou (Album Version (Explicit)),Tech N9ne,Everready,7ocmhjfBKajAqVxRLgs2iL,26sfR6xBMYUQ9ORoopLphT,57,2006,271813,True,https://open.spotify.com/track/26sfR6xBMYUQ9ORoopLphT,0.782,0.828,1,-2.872,1,0.274,0.127,0.0,0.0584,0.51,178.091
The Beast (Album Version (Explicit)),Tech N9ne,Everready,7ocmhjfBKajAqVxRLgs2iL,470oq4Gp1WAczVeuYri9ZU,50,2006,219573,True,https://open.spotify.com/track/470oq4Gp1WAczVeuYri9ZU,0.7,0.918,5,-4.16,0,0.442,0.297,0.0,0.626,0.763,204.272
The Beast (Album Version (Explicit)),Tech N9ne,Everready,7eUmMXeZLYIn4IKpyko33w,2ZaWL12apL7wmNPuJMlny4,48,2006-11-07,219573,True,https://open.spotify.com/track/2ZaWL12apL7wmNPuJMlny4,0.703,0.909,5,-4.206,0,0.46,0.286,0.0,0.402,0.776,204.208
Caribou Lou (Album Version (Explicit)),Tech N9ne,Everready,7eUmMXeZLYIn4IKpyko33w,0I0wn4G67txQwENcmRH3d6,55,2006-11-07,271813,True,https://open.spotify.com/track/0I0wn4G67txQwENcmRH3d6,0.783,0.815,1,-2.703,1,0.298,0.128,0.0,0.0757,0.554,178.117
Tell Me,Wonder Girls,The Wonder Years,3svp0TRDC5MMUAPNMimAi1,2UuKZDzjZ7cVMOvpmuAMYj,67,2007-09-12,217000,False,https://open.spotify.com/track/2UuKZDzjZ7cVMOvpmuAMYj,0.792,0.924,6,-6.866,0,0.0327,0.104,0.000224,0.336,0.968,127.003
Into the New World,Girls' Generation,Girls' Generation,2U1BPwhkzHt05OFugiSB3g,1RTW9UthqmZwr8Od6CH4i8,60,2007-11-01,265760,False,https://open.spotify.com/track/1RTW9UthqmZwr8Od6CH4i8,0.708,0.892,4,-1.964,0,0.0349,0.0706,0.0,0.114,0.623,108.031
